SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF
145000,5,1097,2,1097,1,1994,1995,0.0,0,0,2.0,112.0,392,0,64
153000,5,1297,2,1297,1,1954,1990,650.0,1,1213,1.0,74.0,0,0,0
109000,5,1057,1,1057,1,1953,2007,0.0,0,731,1.0,68.0,0,0,52
160000,6,1324,2,1088,2,1965,1965,101.0,1,643,1.0,84.0,0,0,138
170000,5,1328,1,1350,1,1959,1959,0.0,2,967,1.0,115.0,0,0,104
141000,5,1150,1,1150,1,1959,1959,0.0,0,179,1.0,70.0,0,0,0
319900,9,1752,2,1752,2,2005,2005,412.0,1,456,2.0,61.0,196,0,82
239686,7,2149,2,1434,1,2003,2003,0.0,1,1351,2.0,48.0,168,631,43
249700,8,1656,3,1656,2,2006,2006,0.0,0,24,2.0,84.0,0,0,146
127000,5,955,1,955,1,1966,1966,0.0,0,763,1.0,66.0,0,0,0
114500,6,1176,2,816,1,1934,1950,0.0,1,0,2.0,52.0,112,0,0
110000,5,816,2,816,1,1963,1963,0.0,0,104,1.0,110.0,106,0,0
385000,9,1842,3,1842,0,1981,1987,0.0,1,1810,1.0,68.0,857,0,72
130000,5,1360,2,384,1,1955,1955,0.0,1,384,1.0,60.0,0,0,50
180500,6,1425,2,1425,2,1964,1964,272.0,1,490,1.0,100.0,0,0,0
172500,8,1739,2,970,2,1999,2000,456.0,0,649,2.0,24.0,115,756,0
196500,7,1720,2,860,2,2004,2004,0.0,0,0,2.0,89.0,0,860,70
438780,10,2945,3,1410,3,2006,2006,1031.0,1,0,2.0,66.0,192,1519,0
124900,5,780,1,780,1,1972,1972,0.0,0,632,1.0,60.0,196,0,0
158000,6,1158,2,1158,1,2004,2004,0.0,0,941,2.0,63.0,0,0,50
101000,5,1111,1,530,1,1920,1996,0.0,0,0,0.0,60.0,0,530,0
202500,8,1370,2,1370,2,2006,2006,178.0,1,24,2.0,44.0,120,0,49
140000,7,1710,2,576,2,1921,1950,0.0,0,0,0.0,50.0,12,808,11
317000,8,2473,3,1143,2,2004,2005,344.0,1,0,2.0,76.0,192,1330,151
226000,7,1479,2,1453,2,2003,2003,167.0,0,1013,2.0,72.0,144,0,29
80000,4,747,1,747,1,1945,1950,0.0,0,0,1.0,47.0,0,0,0
225000,7,2287,2,1304,2,1953,1953,0.0,1,603,1.0,81.0,0,983,21
244000,7,2223,2,2223,2,1973,1973,1115.0,2,1880,1.0,95.0,300,0,0
129500,4,845,2,845,1,1982,2006,0.0,0,565,1.0,69.0,0,0,0
185000,7,1718,2,832,2,1998,1998,40.0,1,0,2.0,74.0,0,833,94
144900,5,1086,2,1086,1,1954,2003,104.0,0,320,1.0,85.0,0,0,0
107400,3,1605,1,840,2,1915,1950,0.0,0,0,1.0,60.0,0,765,0
91000,4,988,1,462,1,1973,1973,0.0,0,462,1.0,21.0,120,462,101
127000,5,1285,1,672,1,1948,2001,0.0,0,336,1.0,50.0,0,213,0
110000,5,1230,2,440,1,1910,1981,0.0,0,0,2.0,60.0,74,548,0
193500,6,2142,1,896,2,1968,1968,576.0,1,448,1.0,100.0,0,960,72
153500,6,1337,2,1237,2,1998,1998,443.0,0,1201,2.0,32.0,0,0,199
245000,8,1563,3,1563,2,2007,2007,468.0,1,33,2.0,78.0,144,0,99
126500,5,1065,2,1065,1,1960,1960,66.0,0,0,1.0,80.0,74,0,0
260000,8,2417,2,1288,2,1991,1992,284.0,1,0,1.0,121.0,127,1116,82
174000,6,1560,2,684,2,2005,2005,0.0,1,0,2.0,122.0,100,876,38
164500,6,1224,2,612,2,2009,2009,76.0,0,0,2.0,40.0,0,612,234
109900,4,1040,2,0,1,1950,1950,0.0,0,0,3.0,60.0,0,0,29
98600,5,1235,2,1235,1,1961,1961,203.0,0,600,1.0,85.0,0,0,0
163500,5,964,2,876,1,1921,2006,0.0,0,713,0.0,80.0,0,0,0
133900,6,2291,2,1214,2,1910,1998,0.0,1,1046,0.0,60.0,0,1031,0
204750,6,1786,2,824,2,1997,1997,0.0,0,648,2.0,69.0,0,881,162
214000,7,1588,2,1588,2,1999,1999,183.0,0,1162,2.0,78.0,158,0,29
94750,4,960,1,960,1,1965,1965,48.0,0,520,1.0,73.0,120,0,0
83000,5,835,1,458,1,1920,1950,0.0,0,108,0.0,85.0,0,0,0
178000,6,1732,2,741,2,1985,1985,336.0,1,0,1.0,77.0,192,755,46
118964,5,1535,2,0,2,1979,1979,0.0,0,0,3.0,64.0,0,0,0
198900,7,1226,3,1226,2,2009,2009,0.0,0,0,2.0,94.0,0,0,36
250000,8,1992,2,1053,2,2003,2004,768.0,1,0,2.0,75.0,140,939,45
100000,4,1047,1,641,1,1885,1995,0.0,0,0,0.0,60.0,0,0,0
115000,5,789,1,789,1,1948,1950,0.0,0,104,1.0,50.0,0,0,0
190000,6,1844,2,1844,2,1977,1977,480.0,1,705,1.0,105.0,0,0,122
136900,6,1855,1,994,2,1954,1972,0.0,0,444,1.0,75.0,182,639,0
383970,7,2696,3,1264,2,2007,2007,220.0,1,984,2.0,77.0,120,1414,184
259500,6,2320,1,1028,2,1945,2002,0.0,1,774,1.0,61.0,224,884,0
176000,6,1458,2,729,2,1999,1999,1129.0,1,419,2.0,34.0,0,729,32
155000,5,1125,2,1125,1,2006,2007,0.0,0,0,2.0,74.0,80,0,64
320000,7,3222,3,1673,3,1990,1990,0.0,2,1470,2.0,90.0,367,1523,0
163990,6,1456,2,728,2,2005,2006,0.0,1,0,2.0,65.0,0,728,24
100000,4,1123,1,732,1,1939,1950,0.0,0,0,2.0,50.0,0,351,0
136000,6,1080,1,1080,1,1958,1958,135.0,0,570,1.0,75.0,0,0,0
153900,6,1199,2,1199,2,1993,1993,0.0,0,300,2.0,55.0,0,0,63
181000,6,1586,2,1362,2,1979,1998,0.0,1,0,1.0,48.0,192,0,0
155000,6,1348,2,660,1,1966,1966,266.0,1,512,1.0,69.0,188,688,108
150000,5,1053,2,1008,1,1958,1991,85.0,0,567,1.0,69.0,0,0,80
226000,7,2157,2,924,2,1966,1966,309.0,2,445,1.0,88.0,105,941,66
150750,5,1327,2,1063,1,1959,2002,0.0,0,405,1.0,75.0,0,0,0
180000,5,1721,2,1461,2,1968,1993,0.0,1,570,1.0,78.0,0,0,96
174000,7,1682,2,1304,2,1970,1970,288.0,1,0,2.0,80.0,98,0,0
171000,7,1959,3,1907,3,1988,1989,70.0,0,0,1.0,82.0,0,0,0
230000,8,1852,3,1004,2,1999,2000,320.0,2,668,2.0,73.0,224,848,106
231500,6,1764,2,928,2,1997,1997,0.0,0,821,2.0,65.0,276,836,99
260000,7,1734,2,1734,2,2005,2005,0.0,0,1300,2.0,78.0,160,0,24
166000,5,1385,2,910,2,1952,1952,0.0,0,507,1.0,71.0,0,475,0
204000,7,1501,2,1490,2,1999,1999,183.0,0,679,2.0,78.0,144,0,29
125000,5,1728,2,1728,2,1963,1963,336.0,0,1332,1.0,70.0,0,0,0
130000,6,1709,2,970,2,2004,2006,50.0,0,0,2.0,24.0,0,739,40
105000,5,875,1,715,1,1931,1993,0.0,0,209,0.0,51.0,48,0,0
122000,5,969,2,969,1,1975,1975,0.0,0,716,1.0,120.0,0,0,0
372402,8,1710,3,1710,2,2007,2008,436.0,1,1400,2.0,107.0,0,0,102
125000,6,1200,1,1200,1,1923,1950,0.0,0,0,0.0,84.0,0,0,0
109500,5,1040,2,0,1,1950,1950,0.0,0,0,1.0,60.0,0,0,0
269500,8,1968,3,774,2,2009,2010,84.0,1,0,2.0,92.0,0,1194,75
254900,7,1947,2,991,2,2004,2005,0.0,1,222,2.0,100.0,0,956,136
320000,7,2462,2,1392,2,2005,2006,456.0,1,57,2.0,134.0,239,1070,132
412500,9,2668,3,1572,2,2003,2004,664.0,2,1016,2.0,110.0,400,1096,0
220000,7,1541,2,1541,2,2005,2005,226.0,1,1201,2.0,95.0,0,0,70
152000,6,1616,1,1149,2,1926,2004,0.0,0,370,0.0,40.0,0,467,0
325624,8,2161,3,1582,1,2007,2007,300.0,1,1288,2.0,86.0,178,551,120
183500,7,1720,2,840,2,2004,2004,0.0,1,0,2.0,62.0,100,880,48
215000,6,1656,2,1080,1,1960,1960,112.0,2,639,1.0,141.0,210,0,62
239000,7,1767,2,1064,2,1987,1987,0.0,1,495,2.0,44.0,441,703,35
163000,6,1362,2,1362,1,1961,1961,491.0,1,288,1.0,80.0,0,0,20
184000,6,1651,2,1606,2,1986,1986,132.0,1,1398,1.0,47.0,192,0,0
243000,6,2158,2,1202,2,1950,2001,0.0,1,477,1.0,84.0,0,0,29
211000,6,2060,2,1151,2,1988,1989,268.0,1,831,2.0,97.0,0,896,228
501837,9,2234,3,2216,2,2008,2009,748.0,1,1904,2.0,63.0,0,0,60
100000,5,968,2,968,1,1923,2006,0.0,0,0,1.0,60.0,0,0,0
200100,7,1802,1,793,1,1920,1950,0.0,1,352,0.0,54.0,0,901,0
120000,5,1340,1,0,1,1957,2006,98.0,1,0,2.0,60.0,116,0,0
200000,7,2082,2,1362,2,2003,2003,0.0,0,0,2.0,63.0,280,720,238
127000,5,1252,2,504,1,1908,1991,0.0,0,0,2.0,92.0,104,316,0
475000,10,3608,3,1107,2,1892,1993,0.0,2,0,0.0,90.0,0,1518,260
135000,5,1656,1,660,2,1916,1987,0.0,0,0,1.0,60.0,0,704,0
153337,5,1224,2,1086,0,1979,1979,275.0,2,1086,1.0,64.0,120,0,0
286000,8,1593,2,1593,1,2001,2002,0.0,1,1153,2.0,41.0,0,0,120
315000,8,2727,2,853,2,1932,1994,0.0,2,297,1.0,70.0,0,1178,74
192000,7,1431,2,1431,2,1999,1999,0.0,0,560,2.0,68.0,0,0,35
130000,7,1709,2,970,2,2004,2004,50.0,0,0,2.0,24.0,0,739,40
127000,5,864,1,864,1,1972,1972,0.0,0,390,1.0,60.0,0,0,0
148500,6,1456,2,855,2,1976,1976,0.0,1,566,1.0,24.0,87,601,0
311872,7,1726,3,1726,2,2007,2007,205.0,1,1126,2.0,79.0,171,0,138
235000,8,3112,2,1360,2,1918,1990,0.0,1,1036,2.0,174.0,0,1360,16
274900,8,1713,3,1713,2,2004,2005,262.0,1,1088,2.0,76.0,0,0,26
140000,4,1121,2,1121,2,2003,2004,0.0,0,0,2.0,80.0,132,0,64
171500,6,1279,2,1196,2,1977,1977,0.0,2,641,1.0,75.0,238,0,83
112000,6,1310,1,617,2,1924,1950,0.0,0,617,0.0,50.0,0,445,0
110000,5,1284,1,720,1,1947,1950,0.0,0,312,1.0,50.0,0,564,35
180500,7,1442,2,1424,2,1990,1990,0.0,0,0,2.0,99.0,0,0,34
143900,5,1696,1,1140,1,1962,1962,0.0,1,0,1.0,40.0,0,0,30
145000,6,1092,2,1092,1,1964,1964,260.0,0,787,1.0,75.0,0,0,0
186000,6,1212,2,1212,2,2009,2009,0.0,0,36,2.0,83.0,100,0,22
252678,7,1852,2,900,2,2009,2009,0.0,1,822,2.0,72.0,168,920,108
156000,5,990,2,990,1,1995,1995,0.0,0,716,2.0,43.0,224,0,0
134450,5,1236,1,1070,1,1957,1996,64.0,1,360,1.0,72.0,0,0,0
210000,7,1436,2,1436,2,2004,2004,266.0,0,946,2.0,65.0,139,0,98
107000,4,1328,1,686,1,1925,1950,0.0,0,0,1.0,57.0,0,518,172
167240,7,1248,2,1248,2,2005,2006,16.0,0,16,2.0,43.0,108,0,0
204900,7,1498,2,1498,2,2006,2006,0.0,0,0,2.0,73.0,351,0,33
179900,6,1552,2,713,2,1975,1975,0.0,1,550,1.0,85.0,209,741,208
97000,4,864,2,864,1,1971,1971,0.0,0,524,1.0,70.0,216,0,0
386250,10,2392,3,2392,2,2003,2003,922.0,1,56,2.0,103.0,248,0,105
112000,5,1302,1,630,2,1971,1971,142.0,0,0,1.0,21.0,0,672,0
290000,7,2520,3,1203,2,1995,1995,290.0,1,565,2.0,82.0,224,1306,114
106000,6,987,1,483,1,1970,1970,127.0,0,321,1.0,21.0,0,504,0
125000,5,912,1,912,1,1967,1967,0.0,1,842,1.0,70.0,0,0,0
192500,7,1555,2,1373,2,2005,2006,16.0,1,16,2.0,43.0,143,0,20
148000,6,1194,1,1194,1,1959,1959,220.0,0,0,1.0,73.0,0,0,0
403000,8,2794,3,1462,2,1995,1996,506.0,1,689,2.0,174.0,0,1304,146
94500,6,987,1,483,1,1972,1972,297.0,1,0,1.0,21.0,0,504,0
128200,5,894,1,894,1,1976,1976,0.0,0,182,1.0,75.0,365,0,0
89500,6,987,1,483,1,1971,1971,604.0,0,358,1.0,21.0,0,504,0
185500,7,1414,2,1414,2,2004,2004,98.0,0,24,2.0,65.0,132,0,105
318000,8,1694,3,1694,2,2007,2007,254.0,0,0,2.0,93.0,168,0,228
113000,6,1487,1,735,1,1945,1950,0.0,1,94,1.0,52.0,0,689,140
262500,8,1566,2,1566,2,2008,2008,36.0,0,1078,2.0,75.0,144,0,168
79000,5,1440,1,540,1,1900,1950,0.0,0,0,0.0,63.0,0,551,0
120000,6,1217,1,626,1,1980,1980,0.0,1,0,1.0,75.0,0,591,28
241500,7,1872,2,1845,2,1988,1988,102.0,1,929,1.0,80.0,197,0,39
137000,6,1928,1,1020,2,1910,1950,0.0,0,0,4.0,69.0,0,1020,60
140000,6,1375,2,1367,1,1954,1954,0.0,1,0,1.0,75.0,0,0,30
180000,7,1668,2,840,2,2003,2003,101.0,0,0,2.0,72.0,144,828,68
235000,8,1625,2,1573,2,2006,2007,481.0,1,1573,2.0,44.0,123,0,0
173000,6,1640,2,798,2,2004,2004,0.0,0,0,2.0,65.0,138,842,45
158000,6,1302,1,1302,2,1964,1991,108.0,0,270,1.0,85.0,333,0,0
145000,5,1314,1,1314,1,1957,1957,0.0,0,922,1.0,70.0,250,0,0
230000,7,2291,2,975,2,1999,1999,302.0,1,0,2.0,66.0,192,1286,0
207500,6,1728,2,864,2,2003,2003,0.0,0,503,2.0,64.0,216,864,56
220000,7,1604,2,1604,2,2006,2006,180.0,1,1334,2.0,68.0,123,0,110
231500,7,1792,2,963,2,2001,2001,172.0,1,361,2.0,80.0,0,829,96
97000,5,882,1,0,1,1956,1956,0.0,0,0,2.0,70.0,0,0,45
176000,6,1382,2,1362,1,1962,1962,399.0,1,672,1.0,120.0,0,0,0
276000,8,2574,3,1482,2,2007,2007,270.0,1,0,2.0,69.0,0,1092,148
151000,6,1212,2,506,1,1977,1995,46.0,1,506,1.0,88.0,292,0,12
130000,5,1316,2,926,1,1929,2001,0.0,0,234,0.0,50.0,0,0,0
73000,5,764,2,680,1,1925,2004,0.0,0,0,0.0,30.0,0,0,0
175500,6,1422,2,1422,2,1981,1981,210.0,1,588,1.0,78.0,276,0,0
185000,6,1511,2,802,2,1997,1997,0.0,1,714,2.0,70.0,95,709,75
179500,5,2192,1,720,2,1939,1997,0.0,1,378,2.0,60.0,262,720,24
120500,5,778,1,740,1,1940,1955,0.0,1,403,1.0,71.0,0,0,25
266000,8,1939,3,1095,2,2006,2006,0.0,1,0,2.0,84.0,192,844,51
241500,7,1363,2,1385,1,1954,2005,0.0,2,226,1.0,73.0,81,0,0
290000,8,2270,3,1152,2,1999,2007,348.0,1,524,2.0,92.0,132,1106,57
139000,6,1632,1,1240,2,1958,1988,183.0,1,620,1.0,80.0,289,0,0
124500,5,816,1,816,1,1982,1982,0.0,0,546,1.0,76.0,168,0,0
205000,7,1548,2,952,2,1925,2007,0.0,0,0,0.0,55.0,74,596,0
201000,7,1560,2,1560,2,2003,2003,0.0,0,0,2.0,129.0,100,0,150
141000,4,864,2,864,1,1951,1951,0.0,0,120,1.0,140.0,0,0,0
415298,9,2121,3,2121,2,2006,2007,315.0,1,0,2.0,107.0,124,0,98
192000,7,2022,2,1160,2,1977,1977,299.0,1,392,1.0,83.0,288,866,117
228500,7,1982,2,807,2,1989,1989,340.0,1,421,1.0,82.0,0,807,84
185000,6,1262,2,1262,2,2006,2006,68.0,0,905,2.0,60.0,0,0,120
207500,7,1314,2,1314,2,2007,2008,166.0,1,904,2.0,34.0,172,0,62
244600,8,1468,3,1468,2,2008,2009,72.0,1,0,2.0,74.0,210,0,150
179200,6,1575,2,1575,2,1992,1992,0.0,0,430,2.0,50.0,0,0,0
164700,7,1250,2,625,2,2006,2007,0.0,0,0,2.0,35.0,0,625,54
159000,6,1734,2,912,1,1962,1981,0.0,1,600,1.0,77.0,0,649,0
153575,6,1396,1,698,1,1915,2003,0.0,0,0,0.0,60.0,0,698,0
233230,8,1919,2,1079,2,2006,2006,0.0,1,0,2.0,120.0,0,840,51
131000,5,1716,1,768,1,1949,2008,0.0,1,292,1.0,60.0,0,568,0
167000,6,1644,2,1416,1,1953,1953,238.0,2,1285,1.0,80.0,110,0,0
142500,6,1003,2,1003,1,1984,1984,0.0,0,819,1.0,37.0,120,0,0
152000,5,1558,1,910,1,1950,1950,0.0,0,420,1.0,75.0,289,648,0
239000,7,1950,2,975,2,1997,1998,1600.0,1,649,2.0,66.0,0,975,10
175000,6,1743,2,702,1,1968,1968,365.0,1,384,1.0,90.0,224,702,0
158500,6,1152,1,1092,1,1950,2004,0.0,1,0,1.0,80.0,0,0,36
157000,5,1336,1,1165,1,1953,1953,56.0,2,841,1.0,90.0,0,0,0
267000,8,2452,2,1028,2,1998,1999,0.0,1,281,2.0,66.0,208,1242,50
205000,7,1541,3,1541,2,2001,2002,150.0,1,0,2.0,118.0,468,0,81
149900,5,894,2,894,1,1972,1972,0.0,0,894,2.0,70.0,256,0,0
295000,7,3493,3,1470,3,1880,2002,0.0,1,0,0.0,87.0,302,1818,0
305900,8,2000,3,2000,2,2004,2005,246.0,0,1464,2.0,80.0,168,0,0
225000,7,2243,3,700,2,1990,1991,246.0,1,700,1.0,116.0,127,1121,44
360000,9,1944,3,1896,2,2003,2004,0.0,3,1274,2.0,90.0,208,0,175
132000,6,972,1,972,1,1948,2002,0.0,1,680,1.0,50.0,0,0,0
119900,5,1118,2,793,1,1939,1950,0.0,1,507,1.0,65.0,0,325,0
375000,7,2036,2,2136,2,1965,1965,0.0,2,1236,1.0,150.0,0,0,0
178000,7,1641,2,728,1,1925,1990,0.0,1,16,0.0,60.0,0,809,0
188500,7,1432,2,716,2,2004,2005,0.0,1,425,2.0,71.0,100,716,51
260000,7,2353,2,845,2,1980,1980,278.0,1,692,1.0,94.0,288,1200,195
270000,8,1959,3,1088,2,2006,2006,0.0,1,0,2.0,75.0,208,871,46
260000,7,2646,3,1347,2,1993,1993,256.0,1,987,2.0,90.0,340,1274,60
342643,9,2596,3,1249,3,2006,2006,370.0,0,0,2.0,111.0,240,1347,154
354000,8,2468,3,1136,2,2004,2004,388.0,1,970,2.0,99.0,184,1332,154
301000,7,2730,2,1502,2,1986,1987,172.0,1,28,1.0,86.0,201,1177,96
126175,3,1163,1,1162,1,1955,2005,0.0,0,256,1.0,49.0,142,0,98
242000,7,2978,2,710,2,1967,2007,300.0,1,0,1.0,96.0,240,1080,0
87000,5,803,2,720,1,1941,1950,0.0,0,116,1.0,50.0,0,0,0
324000,8,1719,2,1719,1,1993,1993,0.0,2,1619,2.0,32.0,122,0,30
145250,6,1383,1,1383,1,1960,1960,175.0,0,565,1.0,80.0,0,0,45
78000,5,1192,1,596,1,1920,1950,0.0,0,0,2.0,60.0,0,596,0
139000,5,1056,1,1056,1,1958,1992,0.0,0,846,1.0,70.0,0,0,0
284000,8,1629,3,3206,2,2003,2004,296.0,1,1124,2.0,85.0,0,0,0
207000,7,1358,2,1358,2,2004,2004,146.0,1,720,2.0,59.0,192,0,30
192000,6,1638,2,943,2,1998,1998,0.0,2,828,2.0,59.0,100,695,38
377426,9,1922,3,1922,2,2005,2006,200.0,1,1249,2.0,86.0,178,0,51
214000,7,1536,2,1536,2,2002,2003,113.0,0,810,2.0,70.0,192,0,74
202500,7,1621,2,1208,2,1984,1998,0.0,0,213,1.0,91.0,108,0,45
155000,6,1215,1,1215,1,1958,1998,176.0,0,585,1.0,66.0,0,0,0
202900,8,1908,2,967,2,2002,2002,0.0,0,0,2.0,85.0,135,915,0
82000,4,841,1,721,1,1950,1950,0.0,0,0,1.0,60.0,250,0,0
266000,9,1684,2,1684,2,2005,2005,616.0,1,28,2.0,63.0,495,0,72
85000,5,1112,1,536,1,1976,1976,0.0,0,129,1.0,36.0,182,576,0
140200,6,1577,1,972,1,1939,1950,0.0,1,0,0.0,65.0,0,605,0
154000,7,1626,2,764,2,2003,2004,106.0,0,573,2.0,36.0,0,862,27
437154,9,2728,3,1848,2,2005,2006,870.0,2,1410,2.0,56.0,0,880,0
318061,9,1869,2,1869,2,2007,2007,362.0,1,0,2.0,68.0,210,0,54
95000,5,1111,1,616,1,1941,1950,0.0,0,236,1.0,60.0,48,495,0
105900,6,720,2,624,1,1928,2003,0.0,0,0,0.0,60.0,106,0,0
140000,6,1595,1,940,1,1940,2000,0.0,2,388,1.0,60.0,0,403,0
177500,6,1200,2,1200,2,1995,1995,0.0,0,334,2.0,105.0,0,0,26
134000,5,1142,2,1142,1,1976,1976,0.0,1,874,2.0,44.0,536,0,90
130000,5,1352,1,1062,1,1958,1958,120.0,0,300,1.0,92.0,168,0,0
280000,8,1924,2,1086,2,1998,1998,530.0,1,956,2.0,78.0,208,838,75
198500,7,1922,2,0,3,2003,2003,500.0,1,0,3.0,64.0,0,1427,0
118000,6,987,1,483,1,1972,2007,510.0,0,162,1.0,21.0,250,504,0
147000,5,1344,1,672,1,1920,1997,0.0,0,456,1.0,59.0,0,672,128
165000,6,1431,1,1099,1,1962,1962,305.0,1,371,1.0,101.0,64,0,110
132000,5,1268,1,1268,1,1954,1954,200.0,1,540,2.0,78.0,0,0,98
134432,4,1588,2,0,2,1959,1959,0.0,1,0,1.0,80.0,0,468,59
125000,6,752,1,744,1,1984,1984,0.0,0,623,1.0,50.0,353,0,0
123000,5,1319,1,608,1,1953,1953,0.0,0,428,2.0,79.0,66,0,0
219500,7,1928,2,847,2,2003,2004,0.0,1,0,2.0,65.0,100,1081,48
148000,5,914,2,870,1,1996,1996,0.0,0,298,2.0,57.0,0,0,0
340000,8,2466,2,1580,3,2004,2005,0.0,1,0,2.0,102.0,159,886,214
394432,9,1856,3,1856,1,2010,2010,350.0,1,1445,2.0,88.0,113,0,0
179000,6,1800,2,982,2,2000,2000,16.0,1,0,2.0,60.0,100,793,63
127000,5,1691,1,1026,2,1924,1950,0.0,1,218,0.0,50.0,0,665,0
187750,7,1301,2,1293,2,2006,2006,0.0,1,0,2.0,60.0,216,0,121
213500,7,1797,2,939,2,2006,2006,0.0,0,0,2.0,79.0,144,858,53
76000,6,784,2,784,1,1928,1950,0.0,0,0,0.0,60.0,0,0,0
192000,8,1269,2,1256,2,2004,2005,16.0,1,24,2.0,43.0,146,0,20
125000,6,1125,1,1041,1,1976,1976,255.0,1,631,1.0,72.0,296,0,0
191000,7,1479,2,1468,2,1999,2000,125.0,0,0,2.0,93.0,120,0,25
426000,10,2332,3,1682,2,2007,2008,272.0,1,1280,2.0,96.0,196,590,134
119000,5,1367,1,861,1,1900,1950,0.0,0,241,0.0,50.0,0,406,130
215000,6,1961,2,804,2,2001,2002,0.0,1,690,2.0,71.0,125,1157,192
109000,5,1034,1,735,1,1940,1950,0.0,0,0,1.0,60.0,0,299,39
129000,5,1144,1,1144,1,1956,1956,0.0,0,739,1.0,68.0,44,0,0
123000,5,894,2,894,1,1972,1972,0.0,0,777,1.0,60.0,215,0,0
169500,5,1812,1,864,2,1962,1962,288.0,1,540,1.0,69.0,0,936,168
67000,5,1077,1,961,1,1920,1950,0.0,0,0,0.0,60.0,0,0,0
241000,7,1550,2,1092,2,2006,2007,100.0,0,812,2.0,65.0,0,438,168
245500,8,1288,2,1260,1,1996,1996,0.0,2,786,2.0,38.0,120,0,30
164990,7,1310,2,1310,2,2005,2005,0.0,1,24,2.0,65.0,0,0,0
108000,5,672,1,672,1,1940,1997,0.0,0,0,2.0,60.0,168,0,0
258000,8,2263,2,1141,2,1998,1998,650.0,1,0,2.0,93.0,144,1098,123
115000,6,1639,1,1064,1,1936,1950,0.0,0,0,0.0,51.0,0,0,0
177000,6,1680,1,840,2,1915,1976,0.0,0,0,0.0,63.0,0,840,0
280000,7,2172,3,1063,2,2006,2006,350.0,1,0,2.0,109.0,192,1101,62
339750,8,2078,3,1034,2,2007,2008,100.0,1,789,2.0,85.0,0,1028,102
60000,5,1276,1,1276,1,1958,1958,0.0,0,0,1.0,68.0,0,0,0
145000,5,1056,2,1056,1,1955,1955,0.0,0,1056,1.0,100.0,264,0,0
115000,5,1028,2,1008,1,1927,1950,0.0,1,0,1.0,56.0,0,0,0
228000,7,2097,3,1080,2,1993,1993,0.0,1,50,2.0,59.0,196,1017,187
181134,7,1340,2,1340,2,2007,2007,0.0,0,24,2.0,73.0,100,0,30
149500,6,1400,2,672,1,1978,1978,203.0,1,209,1.0,74.0,0,728,0
